stimulus_signature_sha256,dimension,domain_first,task_first,concept_id_first,human_score_first,n_human_raters_first,domain_second,task_second,concept_id_second,human_score_second,n_human_raters_second,selection_role,api_score,second_minus_first
ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,cc,Biology,A,C16,4.5,4,Biology,A,C16,3.375,16,low_human_disagreement_control,2.5555555555555554,-1.125
ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,fa,Biology,A,C16,4.75,4,Biology,A,C16,4.4375,16,low_human_disagreement_control,3.888888888888889,-0.3125
ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,lc,Biology,A,C16,4.5,4,Biology,A,C16,4.1875,16,low_human_disagreement_control,4.666666666666667,-0.3125
ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,mq,Biology,A,C16,4.75,4,Biology,A,C16,3.875,16,low_human_disagreement_control,3.7777777777777777,-0.875
ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,risk,Biology,A,C16,4.75,4,Biology,A,C16,4.25,16,low_human_disagreement_control,3.888888888888889,-0.5
ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,tf,Biology,A,C16,4.25,4,Biology,A,C16,4.375,16,low_human_disagreement_control,3.888888888888889,0.125
74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,cc,Biology,A,C17,3.0,4,Biology,A,C17,3.125,16,high_human_disagreement,2.888888888888889,0.125
74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,fa,Biology,A,C17,4.5,4,Biology,A,C17,4.25,16,high_human_disagreement,4.333333333333333,-0.25
74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,lc,Biology,A,C17,3.75,4,Biology,A,C17,4.0,16,high_human_disagreement,4.777777777777778,0.25
74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,mq,Biology,A,C17,3.5,4,Biology,A,C17,3.5625,16,high_human_disagreement,4.333333333333333,0.0625
74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,risk,Biology,A,C17,3.25,4,Biology,A,C17,3.875,16,high_human_disagreement,4.555555555555555,0.625
74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,tf,Biology,A,C17,4.25,4,Biology,A,C17,4.125,16,high_human_disagreement,4.555555555555555,-0.125
046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,cc,Biology,B,C13,3.75,4,Biology,B,C13,3.125,16,high_human_disagreement,2.0,-0.625
046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,fa,Biology,B,C13,4.0,4,Biology,B,C13,4.25,16,high_human_disagreement,3.0,0.25
046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,lc,Biology,B,C13,3.5,4,Biology,B,C13,4.0625,16,high_human_disagreement,3.888888888888889,0.5625
046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,mq,Biology,B,C13,3.75,4,Biology,B,C13,3.25,16,high_human_disagreement,2.6666666666666665,-0.5
046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,risk,Biology,B,C13,3.75,4,Biology,B,C13,4.375,16,high_human_disagreement,3.3333333333333335,0.625
046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,tf,Biology,B,C13,3.5,4,Biology,B,C13,4.25,16,high_human_disagreement,3.0,0.75
96a7e354cdb86fcc29fdae630e5af052ba4c46cf0135afe1b8b5952a900f2f88,cc,Biology,B,C16,3.0,4,Biology,B,C16,3.0,16,low_human_disagreement_control,2.111111111111111,0.0
96a7e354cdb86fcc29fdae630e5af052ba4c46cf0135afe1b8b5952a900f2f88,fa,Biology,B,C16,3.5,4,Biology,B,C16,3.5,16,low_human_disagreement_control,2.888888888888889,0.0
96a7e354cdb86fcc29fdae630e5af052ba4c46cf0135afe1b8b5952a900f2f88,lc,Biology,B,C16,3.75,4,Biology,B,C16,3.875,16,low_human_disagreement_control,3.888888888888889,0.125
96a7e354cdb86fcc29fdae630e5af052ba4c46cf0135afe1b8b5952a900f2f88,mq,Biology,B,C16,2.5,4,Biology,B,C16,2.5625,16,low_human_disagreement_control,2.111111111111111,0.0625
96a7e354cdb86fcc29fdae630e5af052ba4c46cf0135afe1b8b5952a900f2f88,risk,Biology,B,C16,3.0,4,Biology,B,C16,3.4375,16,low_human_disagreement_control,3.2222222222222223,0.4375
96a7e354cdb86fcc29fdae630e5af052ba4c46cf0135afe1b8b5952a900f2f88,tf,Biology,B,C16,3.0,4,Biology,B,C16,3.8125,16,low_human_disagreement_control,2.7777777777777777,0.8125
a62c7079c376d6fc9be8a020b27d7b964adbc97f7bf745fb9ffcd1203a3724d3,cc,Biology,C,C13,4.5,4,Biology,C,C13,3.4375,16,high_human_disagreement,3.111111111111111,-1.0625
a62c7079c376d6fc9be8a020b27d7b964adbc97f7bf745fb9ffcd1203a3724d3,fa,Biology,C,C13,4.5,4,Biology,C,C13,4.375,16,high_human_disagreement,4.666666666666667,-0.125
a62c7079c376d6fc9be8a020b27d7b964adbc97f7bf745fb9ffcd1203a3724d3,lc,Biology,C,C13,4.5,4,Biology,C,C13,4.1875,16,high_human_disagreement,4.555555555555555,-0.3125
a62c7079c376d6fc9be8a020b27d7b964adbc97f7bf745fb9ffcd1203a3724d3,mq,Biology,C,C13,4.25,4,Biology,C,C13,3.625,16,high_human_disagreement,4.555555555555555,-0.625
a62c7079c376d6fc9be8a020b27d7b964adbc97f7bf745fb9ffcd1203a3724d3,risk,Biology,C,C13,4.0,4,Biology,C,C13,4.25,16,high_human_disagreement,4.555555555555555,0.25
a62c7079c376d6fc9be8a020b27d7b964adbc97f7bf745fb9ffcd1203a3724d3,tf,Biology,C,C13,4.5,4,Biology,C,C13,4.3125,16,high_human_disagreement,4.888888888888889,-0.1875
a49502055a29f677d2b4aa44feef2d72516ea51150bffb7dd3ca86010e76b69d,cc,Biology,C,C15,4.75,4,Biology,C,C15,3.5625,16,low_human_disagreement_control,2.2222222222222223,-1.1875
a49502055a29f677d2b4aa44feef2d72516ea51150bffb7dd3ca86010e76b69d,fa,Biology,C,C15,5.0,4,Biology,C,C15,4.5,16,low_human_disagreement_control,4.111111111111111,-0.5
a49502055a29f677d2b4aa44feef2d72516ea51150bffb7dd3ca86010e76b69d,lc,Biology,C,C15,4.75,4,Biology,C,C15,4.3125,16,low_human_disagreement_control,3.888888888888889,-0.4375
a49502055a29f677d2b4aa44feef2d72516ea51150bffb7dd3ca86010e76b69d,mq,Biology,C,C15,4.5,4,Biology,C,C15,3.4375,16,low_human_disagreement_control,3.0,-1.0625
a49502055a29f677d2b4aa44feef2d72516ea51150bffb7dd3ca86010e76b69d,risk,Biology,C,C15,4.75,4,Biology,C,C15,4.5,16,low_human_disagreement_control,3.7777777777777777,-0.25
a49502055a29f677d2b4aa44feef2d72516ea51150bffb7dd3ca86010e76b69d,tf,Biology,C,C15,4.5,4,Biology,C,C15,4.375,16,low_human_disagreement_control,4.222222222222222,-0.125
bd495198b9d515c5f7da6c06631db381265b0ebef7eaf8c72fbc5da912c964bb,cc,Chemistry,A,C09,2.5,2,Chemistry,A,C09,3.1363636363636362,22,high_human_disagreement,3.0,0.6363636363636362
bd495198b9d515c5f7da6c06631db381265b0ebef7eaf8c72fbc5da912c964bb,fa,Chemistry,A,C09,3.0,2,Chemistry,A,C09,3.9545454545454546,22,high_human_disagreement,4.0,0.9545454545454546
bd495198b9d515c5f7da6c06631db381265b0ebef7eaf8c72fbc5da912c964bb,lc,Chemistry,A,C09,3.0,2,Chemistry,A,C09,4.181818181818182,22,high_human_disagreement,4.777777777777778,1.1818181818181817
bd495198b9d515c5f7da6c06631db381265b0ebef7eaf8c72fbc5da912c964bb,mq,Chemistry,A,C09,3.5,2,Chemistry,A,C09,3.8636363636363638,22,high_human_disagreement,4.444444444444445,0.36363636363636376
bd495198b9d515c5f7da6c06631db381265b0ebef7eaf8c72fbc5da912c964bb,risk,Chemistry,A,C09,3.0,2,Chemistry,A,C09,3.9545454545454546,22,high_human_disagreement,4.444444444444445,0.9545454545454546
bd495198b9d515c5f7da6c06631db381265b0ebef7eaf8c72fbc5da912c964bb,tf,Chemistry,A,C09,3.0,2,Chemistry,A,C09,4.181818181818182,22,high_human_disagreement,4.666666666666667,1.1818181818181817
4df4f7a905ace2fc948090709881f5c5533cb962d7b2dc205f18c36034220490,cc,Chemistry,A,C12,4.5,2,Chemistry,A,C12,3.3181818181818183,22,low_human_disagreement_control,4.222222222222222,-1.1818181818181817
4df4f7a905ace2fc948090709881f5c5533cb962d7b2dc205f18c36034220490,fa,Chemistry,A,C12,5.0,2,Chemistry,A,C12,4.2272727272727275,22,low_human_disagreement_control,4.777777777777778,-0.7727272727272725
4df4f7a905ace2fc948090709881f5c5533cb962d7b2dc205f18c36034220490,lc,Chemistry,A,C12,4.5,2,Chemistry,A,C12,4.318181818181818,22,low_human_disagreement_control,4.777777777777778,-0.18181818181818166
4df4f7a905ace2fc948090709881f5c5533cb962d7b2dc205f18c36034220490,mq,Chemistry,A,C12,2.5,2,Chemistry,A,C12,3.8636363636363638,22,low_human_disagreement_control,4.777777777777778,1.3636363636363638
4df4f7a905ace2fc948090709881f5c5533cb962d7b2dc205f18c36034220490,risk,Chemistry,A,C12,5.0,2,Chemistry,A,C12,4.090909090909091,22,low_human_disagreement_control,4.888888888888889,-0.9090909090909092
4df4f7a905ace2fc948090709881f5c5533cb962d7b2dc205f18c36034220490,tf,Chemistry,A,C12,4.5,2,Chemistry,A,C12,4.363636363636363,22,low_human_disagreement_control,4.888888888888889,-0.1363636363636367
9c6ddaa43207989081cfa0652a1d99a505aaaf111dd283d8b93c64d530c0dc50,cc,Chemistry,B,C09,4.5,2,Chemistry,B,C09,3.6818181818181817,22,low_human_disagreement_control,3.0,-0.8181818181818183
9c6ddaa43207989081cfa0652a1d99a505aaaf111dd283d8b93c64d530c0dc50,fa,Chemistry,B,C09,5.0,2,Chemistry,B,C09,4.454545454545454,22,low_human_disagreement_control,4.222222222222222,-0.5454545454545459
9c6ddaa43207989081cfa0652a1d99a505aaaf111dd283d8b93c64d530c0dc50,lc,Chemistry,B,C09,4.5,2,Chemistry,B,C09,4.136363636363637,22,low_human_disagreement_control,4.333333333333333,-0.3636363636363633
9c6ddaa43207989081cfa0652a1d99a505aaaf111dd283d8b93c64d530c0dc50,mq,Chemistry,B,C09,2.5,2,Chemistry,B,C09,3.8181818181818183,22,low_human_disagreement_control,3.7777777777777777,1.3181818181818183
9c6ddaa43207989081cfa0652a1d99a505aaaf111dd283d8b93c64d530c0dc50,risk,Chemistry,B,C09,5.0,2,Chemistry,B,C09,3.8181818181818183,22,low_human_disagreement_control,4.222222222222222,-1.1818181818181817
9c6ddaa43207989081cfa0652a1d99a505aaaf111dd283d8b93c64d530c0dc50,tf,Chemistry,B,C09,4.5,2,Chemistry,B,C09,4.409090909090909,22,low_human_disagreement_control,4.111111111111111,-0.09090909090909083
5f5a22a0bb8402084cc756c502fd75255f64a3f99cda9bf8d2cb750893e39ca2,cc,Chemistry,B,C11,4.5,2,Chemistry,B,C11,3.409090909090909,22,high_human_disagreement,2.5555555555555554,-1.0909090909090908
5f5a22a0bb8402084cc756c502fd75255f64a3f99cda9bf8d2cb750893e39ca2,fa,Chemistry,B,C11,4.0,2,Chemistry,B,C11,4.363636363636363,22,high_human_disagreement,3.6666666666666665,0.3636363636363633
5f5a22a0bb8402084cc756c502fd75255f64a3f99cda9bf8d2cb750893e39ca2,lc,Chemistry,B,C11,4.5,2,Chemistry,B,C11,4.2727272727272725,22,high_human_disagreement,4.111111111111111,-0.22727272727272751
5f5a22a0bb8402084cc756c502fd75255f64a3f99cda9bf8d2cb750893e39ca2,mq,Chemistry,B,C11,2.5,2,Chemistry,B,C11,3.6818181818181817,22,high_human_disagreement,3.6666666666666665,1.1818181818181817
5f5a22a0bb8402084cc756c502fd75255f64a3f99cda9bf8d2cb750893e39ca2,risk,Chemistry,B,C11,4.5,2,Chemistry,B,C11,4.090909090909091,22,high_human_disagreement,3.888888888888889,-0.40909090909090917
5f5a22a0bb8402084cc756c502fd75255f64a3f99cda9bf8d2cb750893e39ca2,tf,Chemistry,B,C11,4.0,2,Chemistry,B,C11,4.363636363636363,22,high_human_disagreement,3.3333333333333335,0.3636363636363633
774067a80ecbe542bd3a3af1e57fa4b19797194c064707ccba43ef650f3cbc57,cc,Chemistry,C,C07,4.5,2,Chemistry,C,C07,3.727272727272727,22,high_human_disagreement,3.6666666666666665,-0.7727272727272729
774067a80ecbe542bd3a3af1e57fa4b19797194c064707ccba43ef650f3cbc57,fa,Chemistry,C,C07,4.5,2,Chemistry,C,C07,4.318181818181818,22,high_human_disagreement,4.555555555555555,-0.18181818181818166
774067a80ecbe542bd3a3af1e57fa4b19797194c064707ccba43ef650f3cbc57,lc,Chemistry,C,C07,4.0,2,Chemistry,C,C07,4.318181818181818,22,high_human_disagreement,4.555555555555555,0.31818181818181834
774067a80ecbe542bd3a3af1e57fa4b19797194c064707ccba43ef650f3cbc57,mq,Chemistry,C,C07,2.5,2,Chemistry,C,C07,4.045454545454546,22,high_human_disagreement,4.333333333333333,1.5454545454545459
774067a80ecbe542bd3a3af1e57fa4b19797194c064707ccba43ef650f3cbc57,risk,Chemistry,C,C07,4.5,2,Chemistry,C,C07,4.045454545454546,22,high_human_disagreement,4.444444444444445,-0.45454545454545414
774067a80ecbe542bd3a3af1e57fa4b19797194c064707ccba43ef650f3cbc57,tf,Chemistry,C,C07,4.0,2,Chemistry,C,C07,4.409090909090909,22,high_human_disagreement,4.888888888888889,0.40909090909090917
afe310bcff97fd28d26ff1366aa2f82252512ffca352dfa829707ce15205619f,cc,Chemistry,C,C10,4.5,2,Chemistry,C,C10,4.136363636363637,22,low_human_disagreement_control,3.6666666666666665,-0.3636363636363633
afe310bcff97fd28d26ff1366aa2f82252512ffca352dfa829707ce15205619f,fa,Chemistry,C,C10,5.0,2,Chemistry,C,C10,4.590909090909091,22,low_human_disagreement_control,4.666666666666667,-0.40909090909090917
afe310bcff97fd28d26ff1366aa2f82252512ffca352dfa829707ce15205619f,lc,Chemistry,C,C10,4.5,2,Chemistry,C,C10,4.545454545454546,22,low_human_disagreement_control,4.888888888888889,0.04545454545454586
afe310bcff97fd28d26ff1366aa2f82252512ffca352dfa829707ce15205619f,mq,Chemistry,C,C10,2.5,2,Chemistry,C,C10,4.181818181818182,22,low_human_disagreement_control,4.111111111111111,1.6818181818181817
afe310bcff97fd28d26ff1366aa2f82252512ffca352dfa829707ce15205619f,risk,Chemistry,C,C10,5.0,2,Chemistry,C,C10,4.409090909090909,22,low_human_disagreement_control,4.555555555555555,-0.5909090909090908
afe310bcff97fd28d26ff1366aa2f82252512ffca352dfa829707ce15205619f,tf,Chemistry,C,C10,5.0,2,Chemistry,C,C10,4.5,22,low_human_disagreement_control,4.888888888888889,-0.5
69bbf9a0948f0feb16549986396153efa620b925f1b0a8f751a166cb42d66166,cc,Climate/Environment,A,C26,3.75,4,Climate/Environment,A,C26,2.9473684210526314,19,high_human_disagreement,3.4444444444444446,-0.8026315789473686
69bbf9a0948f0feb16549986396153efa620b925f1b0a8f751a166cb42d66166,fa,Climate/Environment,A,C26,4.5,4,Climate/Environment,A,C26,4.052631578947368,19,high_human_disagreement,4.888888888888889,-0.44736842105263186
69bbf9a0948f0feb16549986396153efa620b925f1b0a8f751a166cb42d66166,lc,Climate/Environment,A,C26,3.5,4,Climate/Environment,A,C26,4.105263157894737,19,high_human_disagreement,4.888888888888889,0.6052631578947372
69bbf9a0948f0feb16549986396153efa620b925f1b0a8f751a166cb42d66166,mq,Climate/Environment,A,C26,3.0,4,Climate/Environment,A,C26,3.6315789473684212,19,high_human_disagreement,4.333333333333333,0.6315789473684212
69bbf9a0948f0feb16549986396153efa620b925f1b0a8f751a166cb42d66166,risk,Climate/Environment,A,C26,4.25,4,Climate/Environment,A,C26,4.052631578947368,19,high_human_disagreement,4.777777777777778,-0.19736842105263186
69bbf9a0948f0feb16549986396153efa620b925f1b0a8f751a166cb42d66166,tf,Climate/Environment,A,C26,3.0,4,Climate/Environment,A,C26,3.9473684210526314,19,high_human_disagreement,4.555555555555555,0.9473684210526314
562154e4149cacbbc03fa56403a0f7c84c46ff40ab0fda9d5274f17f34443c40,cc,Climate/Environment,A,C28,4.25,4,Climate/Environment,A,C28,2.9473684210526314,19,low_human_disagreement_control,2.7777777777777777,-1.3026315789473686
562154e4149cacbbc03fa56403a0f7c84c46ff40ab0fda9d5274f17f34443c40,fa,Climate/Environment,A,C28,4.0,4,Climate/Environment,A,C28,4.052631578947368,19,low_human_disagreement_control,4.0,0.05263157894736814
562154e4149cacbbc03fa56403a0f7c84c46ff40ab0fda9d5274f17f34443c40,lc,Climate/Environment,A,C28,5.0,4,Climate/Environment,A,C28,4.2631578947368425,19,low_human_disagreement_control,4.777777777777778,-0.7368421052631575
562154e4149cacbbc03fa56403a0f7c84c46ff40ab0fda9d5274f17f34443c40,mq,Climate/Environment,A,C28,4.25,4,Climate/Environment,A,C28,3.5789473684210527,19,low_human_disagreement_control,4.111111111111111,-0.6710526315789473
562154e4149cacbbc03fa56403a0f7c84c46ff40ab0fda9d5274f17f34443c40,risk,Climate/Environment,A,C28,5.0,4,Climate/Environment,A,C28,3.8421052631578947,19,low_human_disagreement_control,4.555555555555555,-1.1578947368421053
562154e4149cacbbc03fa56403a0f7c84c46ff40ab0fda9d5274f17f34443c40,tf,Climate/Environment,A,C28,4.5,4,Climate/Environment,A,C28,4.157894736842105,19,low_human_disagreement_control,4.222222222222222,-0.3421052631578947
7d760830d8f05746cfea45903f635a36232525b913fc14e0e3644f4de307252f,cc,Climate/Environment,B,C25,3.75,4,Climate/Environment,B,C25,3.1578947368421053,19,low_human_disagreement_control,2.5555555555555554,-0.5921052631578947
7d760830d8f05746cfea45903f635a36232525b913fc14e0e3644f4de307252f,fa,Climate/Environment,B,C25,4.75,4,Climate/Environment,B,C25,3.9473684210526314,19,low_human_disagreement_control,3.111111111111111,-0.8026315789473686
7d760830d8f05746cfea45903f635a36232525b913fc14e0e3644f4de307252f,lc,Climate/Environment,B,C25,4.0,4,Climate/Environment,B,C25,4.421052631578948,19,low_human_disagreement_control,4.666666666666667,0.4210526315789478
7d760830d8f05746cfea45903f635a36232525b913fc14e0e3644f4de307252f,mq,Climate/Environment,B,C25,4.0,4,Climate/Environment,B,C25,3.1052631578947367,19,low_human_disagreement_control,2.888888888888889,-0.8947368421052633
7d760830d8f05746cfea45903f635a36232525b913fc14e0e3644f4de307252f,risk,Climate/Environment,B,C25,4.25,4,Climate/Environment,B,C25,3.5789473684210527,19,low_human_disagreement_control,3.2222222222222223,-0.6710526315789473
7d760830d8f05746cfea45903f635a36232525b913fc14e0e3644f4de307252f,tf,Climate/Environment,B,C25,3.75,4,Climate/Environment,B,C25,4.052631578947368,19,low_human_disagreement_control,3.888888888888889,0.30263157894736814
b6edf9e0b57435670446d3406a47b0d629780569f872c5061caae5c48f4db8f5,cc,Climate/Environment,B,C28,3.5,4,Climate/Environment,B,C28,3.1052631578947367,19,high_human_disagreement,2.0,-0.3947368421052633
