layer,row_key,query_concept_id,confirmed_item_id,mapping_evidence,rank,item_id,generator,model,task,domain,concept_id,concept,score
public_reader_ABC,ABC_A_1,C04,千问_C_C04,explicit_case_provenance,1,千问_C_C04,Alibaba Qwen,Alibaba Qwen,C,Physics,C04,抛体运动,0.17406868462947295
public_reader_ABC,ABC_A_1,C04,千问_C_C04,explicit_case_provenance,2,DEEPSEEK_C_C04,DeepSeek,DeepSeek,C,Physics,C04,抛体运动,0.15275645979338529
public_reader_ABC,ABC_A_1,C04,千问_C_C04,explicit_case_provenance,3,GLM_C_C04,Zhipu GLM,Zhipu GLM,C,Physics,C04,抛体运动,0.10671472488933562
public_reader_ABC,ABC_A_1,C04,千问_C_C04,explicit_case_provenance,4,claude_C_C04,Anthropic Claude,Anthropic Claude,C,Physics,C04,抛体运动,0.10197794627053806
public_reader_ABC,ABC_A_1,C04,千问_C_C04,explicit_case_provenance,5,千问_B_C04,Alibaba Qwen,Alibaba Qwen,B,Physics,C04,抛体运动,0.09354941945059084
public_reader_ABC,ABC_A_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,1,DEEPSEEK_B_C14,DeepSeek,DeepSeek,B,Biology,C14,进化没有预设目标,0.3151439891340617
public_reader_ABC,ABC_A_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,2,DEEPSEEK_C_C14,DeepSeek,DeepSeek,C,Biology,C14,进化没有预设目标,0.1199628679037165
public_reader_ABC,ABC_A_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,3,千问_C_C14,Alibaba Qwen,Alibaba Qwen,C,Biology,C14,进化没有预设目标,0.09985358272097435
public_reader_ABC,ABC_A_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,4,千问_A_C14,Alibaba Qwen,Alibaba Qwen,A,Biology,C14,进化没有预设目标,0.09924436123291316
public_reader_ABC,ABC_A_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,5,GLM_C_C14,Zhipu GLM,Zhipu GLM,C,Biology,C14,进化没有预设目标,0.08318008768171793
public_reader_ABC,ABC_A_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,1,DEEPSEEK_B_C20,DeepSeek,DeepSeek,B,Geoscience,C20,地质时间,0.27810410348115266
public_reader_ABC,ABC_A_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,2,GPT_A_C20,OpenAI GPT,OpenAI GPT,A,Geoscience,C20,地质时间,0.15384246878803182
public_reader_ABC,ABC_A_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,3,mimo_A_C20,Mimo,Mimo,A,Geoscience,C20,地质时间,0.1334652747703403
public_reader_ABC,ABC_A_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,4,GLM_A_C20,Zhipu GLM,Zhipu GLM,A,Geoscience,C20,地质时间,0.05766067396345737
public_reader_ABC,ABC_A_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,5,GPT_C_C20,OpenAI GPT,OpenAI GPT,C,Geoscience,C20,地质时间,0.048310681035220494
public_reader_ABC,ABC_A_4,C18,Gemini_B_C18,explicit_case_provenance,1,Gemini_B_C18,Google Gemini,Google Gemini,B,Biology,C18,光合作用与细胞呼吸,0.3791563539160078
public_reader_ABC,ABC_A_4,C18,Gemini_B_C18,explicit_case_provenance,2,DEEPSEEK_B_C18,DeepSeek,DeepSeek,B,Biology,C18,光合作用与细胞呼吸,0.17235915900057505
public_reader_ABC,ABC_A_4,C18,Gemini_B_C18,explicit_case_provenance,3,Gemini_C_C18,Google Gemini,Google Gemini,C,Biology,C18,光合作用与细胞呼吸,0.11072887925095062
public_reader_ABC,ABC_A_4,C18,Gemini_B_C18,explicit_case_provenance,4,千问_C_C18,Alibaba Qwen,Alibaba Qwen,C,Biology,C18,光合作用与细胞呼吸,0.09550127524275685
public_reader_ABC,ABC_A_4,C18,Gemini_B_C18,explicit_case_provenance,5,KIMI_A_C18,Moonshot Kimi,Moonshot Kimi,A,Biology,C18,光合作用与细胞呼吸,0.06785782222961842
public_reader_ABC,ABC_A_5,C14,GLM_A_C14,explicit_case_provenance,1,GLM_A_C14,Zhipu GLM,Zhipu GLM,A,Biology,C14,进化没有预设目标,0.19078520003260513
public_reader_ABC,ABC_A_5,C14,GLM_A_C14,explicit_case_provenance,2,GLM_C_C14,Zhipu GLM,Zhipu GLM,C,Biology,C14,进化没有预设目标,0.15434714580118114
public_reader_ABC,ABC_A_5,C14,GLM_A_C14,explicit_case_provenance,3,GPT_B_C14,OpenAI GPT,OpenAI GPT,B,Biology,C14,进化没有预设目标,0.10853745917350271
public_reader_ABC,ABC_A_5,C14,GLM_A_C14,explicit_case_provenance,4,豆包_C_C14,ByteDance Doubao,ByteDance Doubao,C,Biology,C14,进化没有预设目标,0.1055356209645783
public_reader_ABC,ABC_A_5,C14,GLM_A_C14,explicit_case_provenance,5,豆包_A_C14,ByteDance Doubao,ByteDance Doubao,A,Biology,C14,进化没有预设目标,0.10318094629490795
public_reader_ABC,ABC_A_6,C02,DEEPSEEK_B_C02,explicit_case_provenance,1,DEEPSEEK_B_C02,DeepSeek,DeepSeek,B,Physics,C02,净力与加速度,0.33347651371867104
public_reader_ABC,ABC_A_6,C02,DEEPSEEK_B_C02,explicit_case_provenance,2,mimo_A_C02,Mimo,Mimo,A,Physics,C02,净力与加速度,0.18904107910157544
public_reader_ABC,ABC_A_6,C02,DEEPSEEK_B_C02,explicit_case_provenance,3,mimo_B_C02,Mimo,Mimo,B,Physics,C02,净力与加速度,0.18152223236713488
public_reader_ABC,ABC_A_6,C02,DEEPSEEK_B_C02,explicit_case_provenance,4,DEEPSEEK_A_C02,DeepSeek,DeepSeek,A,Physics,C02,净力与加速度,0.14434294038610646
public_reader_ABC,ABC_A_6,C02,DEEPSEEK_B_C02,explicit_case_provenance,5,DEEPSEEK_C_C02,DeepSeek,DeepSeek,C,Physics,C02,净力与加速度,0.13312788677543833
public_reader_ABC,ABC_B_1,C04,千问_C_C04,explicit_case_provenance,1,DEEPSEEK_C_C04,DeepSeek,DeepSeek,C,Physics,C04,抛体运动,0.15521349171230847
public_reader_ABC,ABC_B_1,C04,千问_C_C04,explicit_case_provenance,2,千问_C_C04,Alibaba Qwen,Alibaba Qwen,C,Physics,C04,抛体运动,0.14696611655099256
public_reader_ABC,ABC_B_1,C04,千问_C_C04,explicit_case_provenance,3,GLM_C_C04,Zhipu GLM,Zhipu GLM,C,Physics,C04,抛体运动,0.1442871797119618
public_reader_ABC,ABC_B_1,C04,千问_C_C04,explicit_case_provenance,4,claude_C_C04,Anthropic Claude,Anthropic Claude,C,Physics,C04,抛体运动,0.12452831804082784
public_reader_ABC,ABC_B_1,C04,千问_C_C04,explicit_case_provenance,5,GPT_A_C04,OpenAI GPT,OpenAI GPT,A,Physics,C04,抛体运动,0.09629310634688984
public_reader_ABC,ABC_B_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,1,GPT_A_C14,OpenAI GPT,OpenAI GPT,A,Biology,C14,进化没有预设目标,0.09618718582969463
public_reader_ABC,ABC_B_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,2,千问_A_C14,Alibaba Qwen,Alibaba Qwen,A,Biology,C14,进化没有预设目标,0.06982152066742044
public_reader_ABC,ABC_B_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,3,千问_C_C14,Alibaba Qwen,Alibaba Qwen,C,Biology,C14,进化没有预设目标,0.054418562400755835
public_reader_ABC,ABC_B_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,4,DEEPSEEK_B_C14,DeepSeek,DeepSeek,B,Biology,C14,进化没有预设目标,0.04825500765761423
public_reader_ABC,ABC_B_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,5,Gemini_A_C14,Google Gemini,Google Gemini,A,Biology,C14,进化没有预设目标,0.044967926008044036
public_reader_ABC,ABC_B_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,1,DEEPSEEK_B_C20,DeepSeek,DeepSeek,B,Geoscience,C20,地质时间,0.1691871798588935
public_reader_ABC,ABC_B_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,2,GPT_A_C20,OpenAI GPT,OpenAI GPT,A,Geoscience,C20,地质时间,0.14649769811403054
public_reader_ABC,ABC_B_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,3,Gemini_A_C20,Google Gemini,Google Gemini,A,Geoscience,C20,地质时间,0.12772808792802287
public_reader_ABC,ABC_B_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,4,GLM_A_C20,Zhipu GLM,Zhipu GLM,A,Geoscience,C20,地质时间,0.10024966399192327
public_reader_ABC,ABC_B_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,5,mimo_A_C20,Mimo,Mimo,A,Geoscience,C20,地质时间,0.09407482171351512
public_reader_ABC,ABC_B_4,C18,Gemini_B_C18,explicit_case_provenance,1,GPT_A_C18,OpenAI GPT,OpenAI GPT,A,Biology,C18,光合作用与细胞呼吸,0.2957663985751249
public_reader_ABC,ABC_B_4,C18,Gemini_B_C18,explicit_case_provenance,2,claude_A_C18,Anthropic Claude,Anthropic Claude,A,Biology,C18,光合作用与细胞呼吸,0.2444925093975058
public_reader_ABC,ABC_B_4,C18,Gemini_B_C18,explicit_case_provenance,3,DEEPSEEK_B_C18,DeepSeek,DeepSeek,B,Biology,C18,光合作用与细胞呼吸,0.21153983011508926
public_reader_ABC,ABC_B_4,C18,Gemini_B_C18,explicit_case_provenance,4,Gemini_B_C18,Google Gemini,Google Gemini,B,Biology,C18,光合作用与细胞呼吸,0.20273477048006353
public_reader_ABC,ABC_B_4,C18,Gemini_B_C18,explicit_case_provenance,5,Gemini_A_C18,Google Gemini,Google Gemini,A,Biology,C18,光合作用与细胞呼吸,0.1961975306291371
public_reader_ABC,ABC_B_5,C14,GLM_A_C14,explicit_case_provenance,1,Gemini_C_C14,Google Gemini,Google Gemini,C,Biology,C14,进化没有预设目标,0.10169973159030925
public_reader_ABC,ABC_B_5,C14,GLM_A_C14,explicit_case_provenance,2,GLM_A_C14,Zhipu GLM,Zhipu GLM,A,Biology,C14,进化没有预设目标,0.07764750716411635
public_reader_ABC,ABC_B_5,C14,GLM_A_C14,explicit_case_provenance,3,Gemini_A_C14,Google Gemini,Google Gemini,A,Biology,C14,进化没有预设目标,0.05640898403809258
public_reader_ABC,ABC_B_5,C14,GLM_A_C14,explicit_case_provenance,4,KIMI_A_C14,Moonshot Kimi,Moonshot Kimi,A,Biology,C14,进化没有预设目标,0.046529063928615076
public_reader_ABC,ABC_B_5,C14,GLM_A_C14,explicit_case_provenance,5,claude_A_C14,Anthropic Claude,Anthropic Claude,A,Biology,C14,进化没有预设目标,0.04001643271395486
public_reader_ABC,ABC_B_6,C02,DEEPSEEK_B_C02,explicit_case_provenance,1,GPT_B_C02,OpenAI GPT,OpenAI GPT,B,Physics,C02,净力与加速度,0.15951741905027328
public_reader_ABC,ABC_B_6,C02,DEEPSEEK_B_C02,explicit_case_provenance,2,mimo_A_C02,Mimo,Mimo,A,Physics,C02,净力与加速度,0.12445877574606862
public_reader_ABC,ABC_B_6,C02,DEEPSEEK_B_C02,explicit_case_provenance,3,GLM_C_C02,Zhipu GLM,Zhipu GLM,C,Physics,C02,净力与加速度,0.09861956345010145
public_reader_ABC,ABC_B_6,C02,DEEPSEEK_B_C02,explicit_case_provenance,4,KIMI_A_C02,Moonshot Kimi,Moonshot Kimi,A,Physics,C02,净力与加速度,0.09556315129075035
public_reader_ABC,ABC_B_6,C02,DEEPSEEK_B_C02,explicit_case_provenance,5,GLM_A_C02,Zhipu GLM,Zhipu GLM,A,Physics,C02,净力与加速度,0.09290646825154232
public_reader_ABC,ABC_C_1,C04,千问_C_C04,explicit_case_provenance,1,DEEPSEEK_C_C04,DeepSeek,DeepSeek,C,Physics,C04,抛体运动,0.1387382271374664
public_reader_ABC,ABC_C_1,C04,千问_C_C04,explicit_case_provenance,2,GLM_C_C04,Zhipu GLM,Zhipu GLM,C,Physics,C04,抛体运动,0.13344735372396824
public_reader_ABC,ABC_C_1,C04,千问_C_C04,explicit_case_provenance,3,claude_C_C04,Anthropic Claude,Anthropic Claude,C,Physics,C04,抛体运动,0.11851312040027322
public_reader_ABC,ABC_C_1,C04,千问_C_C04,explicit_case_provenance,4,GPT_A_C04,OpenAI GPT,OpenAI GPT,A,Physics,C04,抛体运动,0.10589749662236458
public_reader_ABC,ABC_C_1,C04,千问_C_C04,explicit_case_provenance,5,千问_C_C04,Alibaba Qwen,Alibaba Qwen,C,Physics,C04,抛体运动,0.104881197541874
public_reader_ABC,ABC_C_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,1,DEEPSEEK_B_C14,DeepSeek,DeepSeek,B,Biology,C14,进化没有预设目标,0.15626059294554598
public_reader_ABC,ABC_C_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,2,claude_A_C14,Anthropic Claude,Anthropic Claude,A,Biology,C14,进化没有预设目标,0.10320594062210546
public_reader_ABC,ABC_C_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,3,claude_C_C14,Anthropic Claude,Anthropic Claude,C,Biology,C14,进化没有预设目标,0.08338527802904398
public_reader_ABC,ABC_C_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,4,mimo_A_C14,Mimo,Mimo,A,Biology,C14,进化没有预设目标,0.06667020742317045
public_reader_ABC,ABC_C_2,C14,DEEPSEEK_B_C14,explicit_case_provenance,5,GLM_A_C14,Zhipu GLM,Zhipu GLM,A,Biology,C14,进化没有预设目标,0.06478355744596836
public_reader_ABC,ABC_C_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,1,DEEPSEEK_B_C20,DeepSeek,DeepSeek,B,Geoscience,C20,地质时间,0.18040262394515624
public_reader_ABC,ABC_C_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,2,GPT_C_C20,OpenAI GPT,OpenAI GPT,C,Geoscience,C20,地质时间,0.08293144220649429
public_reader_ABC,ABC_C_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,3,Gemini_A_C20,Google Gemini,Google Gemini,A,Geoscience,C20,地质时间,0.07449606896256349
public_reader_ABC,ABC_C_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,4,GLM_A_C20,Zhipu GLM,Zhipu GLM,A,Geoscience,C20,地质时间,0.07269334873968523
public_reader_ABC,ABC_C_3,C20,DEEPSEEK_B_C20,explicit_case_provenance,5,KIMI_A_C20,Moonshot Kimi,Moonshot Kimi,A,Geoscience,C20,地质时间,0.07013110751265551
public_reader_ABC,ABC_C_4,C18,Gemini_B_C18,explicit_case_provenance,1,DEEPSEEK_B_C18,DeepSeek,DeepSeek,B,Biology,C18,光合作用与细胞呼吸,0.22176316391025663
public_reader_ABC,ABC_C_4,C18,Gemini_B_C18,explicit_case_provenance,2,豆包_A_C18,ByteDance Doubao,ByteDance Doubao,A,Biology,C18,光合作用与细胞呼吸,0.21760158915970973
public_reader_ABC,ABC_C_4,C18,Gemini_B_C18,explicit_case_provenance,3,Gemini_B_C18,Google Gemini,Google Gemini,B,Biology,C18,光合作用与细胞呼吸,0.21733491266940713
public_reader_ABC,ABC_C_4,C18,Gemini_B_C18,explicit_case_provenance,4,Gemini_A_C18,Google Gemini,Google Gemini,A,Biology,C18,光合作用与细胞呼吸,0.19572442413378832
public_reader_ABC,ABC_C_4,C18,Gemini_B_C18,explicit_case_provenance,5,千问_C_C18,Alibaba Qwen,Alibaba Qwen,C,Biology,C18,光合作用与细胞呼吸,0.17704961230454822
public_reader_ABC,ABC_C_5,C14,GLM_A_C14,explicit_case_provenance,1,GLM_A_C14,Zhipu GLM,Zhipu GLM,A,Biology,C14,进化没有预设目标,0.11494657133835184
public_reader_ABC,ABC_C_5,C14,GLM_A_C14,explicit_case_provenance,2,Gemini_C_C14,Google Gemini,Google Gemini,C,Biology,C14,进化没有预设目标,0.1095683991001818
public_reader_ABC,ABC_C_5,C14,GLM_A_C14,explicit_case_provenance,3,Gemini_A_C14,Google Gemini,Google Gemini,A,Biology,C14,进化没有预设目标,0.09777601704137455
public_reader_ABC,ABC_C_5,C14,GLM_A_C14,explicit_case_provenance,4,GLM_C_C14,Zhipu GLM,Zhipu GLM,C,Biology,C14,进化没有预设目标,0.08005700168587725
public_reader_ABC,ABC_C_5,C14,GLM_A_C14,explicit_case_provenance,5,GPT_A_C14,OpenAI GPT,OpenAI GPT,A,Biology,C14,进化没有预设目标,0.07342184275792968
public_reader_ABC,ABC_C_6,C02,DEEPSEEK_B_C02,explicit_case_provenance,1,DEEPSEEK_A_C02,DeepSeek,DeepSeek,A,Physics,C02,净力与加速度,0.190576517684608
