aggregation,dimension,n_complete_stimuli,all_three_exact_agreement,mean_within_item_sd,median_within_item_sd,mean_within_item_mad_from_item_mean,mean_pairwise_exact_agreement,mean_pairwise_within_one_category,mean_absolute_pairwise_difference,mean_pairwise_rmse,mean_pairwise_spearman,min_pairwise_spearman,mean_pairwise_lin_ccc,min_pairwise_lin_ccc,mean_pairwise_quadratic_weighted_kappa,icc_a1_absolute_single_measure,icc_stimulus_bootstrap_ci_low,icc_stimulus_bootstrap_ci_high,icc_stimulus_bootstrap_valid_draws,icc_concept_cluster_bootstrap_ci_low,icc_concept_cluster_bootstrap_ci_high,icc_concept_cluster_bootstrap_valid_draws,status,expected_judges_per_stimulus_replicate
mean,fa,90,0.0666666666666666,0.136958583300555,0.1197055854655139,0.1012345679012346,0.2222222222222222,1.0,0.1703703703703704,0.2280460474227888,0.911437344558785,0.899620584768366,0.927621356553216,0.9250170191479524,,0.9283358074727976,0.8967428641032114,0.949527641121803,2000,0.8933188005590716,0.9514205505195502,2000,complete_fixed_panel,9
median,fa,90,0.7,0.1732050807568877,0.0,0.1333333333333333,0.8000000000000002,1.0,0.2,0.4467517125489245,0.8113264699837996,0.7923007440634836,0.8272654760184581,0.8073668539138785,,0.8288583434228332,0.7501573679271686,0.8866279496948762,2000,0.7606550319930617,0.8852324897140251,2000,complete_fixed_panel,9
trimmed_one_each_tail,fa,90,0.1111111111111111,0.1331818725726988,0.1428571428571428,0.0984126984126983,0.3,1.0,0.1640211640211639,0.2226576640725398,0.9228639619149772,0.9115610509967284,0.9378179606962928,0.9288550307320548,,0.9383993638184356,0.9098585789216728,0.956462289589876,2000,0.9057248539947992,0.95650438458177,2000,complete_fixed_panel,9
no_self_mean,fa,90,0.0777777777777777,0.1432971257350563,0.125,0.104320987654321,0.2222222222222222,1.0,0.1796296296296296,0.2419252869956848,0.9037099520529376,0.8913245153196931,0.9194686306286174,0.9161037771911346,,0.9202582390730024,0.8801117073639605,0.9448978407082824,2000,0.8803612404776824,0.9436838367630797,2000,complete_fixed_panel,8
mean,cc,90,0.0666666666666666,0.1267868011734717,0.1111111111111111,0.0927297668038408,0.2222222222222222,1.0,0.1588477366255144,0.2065206057257993,0.932976582851854,0.9165257439152492,0.929426152590784,0.9151044043114192,,0.9302709411861008,0.9020850920675174,0.9493572037326122,2000,0.9117665001936154,0.9446633086081876,2000,complete_fixed_panel,9
median,cc,90,0.7333333333333333,0.1539600717839002,0.0,0.1185185185185185,0.8222222222222223,1.0,0.1777777777777777,0.4212107687445536,0.7778406926260434,0.7494717623509729,0.7702724704883788,0.7452561239799536,,0.772427018964415,0.6718773760191518,0.8496940613409458,2000,0.6894778021397914,0.8402933073309489,2000,complete_fixed_panel,9
trimmed_one_each_tail,cc,90,0.1333333333333333,0.1235198155993498,0.1428571428571428,0.0888888888888889,0.2814814814814814,1.0,0.1555555555555555,0.2055335034115454,0.932157377559832,0.9241693088164752,0.9313996089627744,0.923232219840813,,0.9321520751881336,0.9044226981131024,0.95115986261287,2000,0.9122300228582672,0.9490640365546176,2000,complete_fixed_panel,9
no_self_mean,cc,90,0.0666666666666666,0.1415070460384529,0.125,0.103395061728395,0.2148148148148148,1.0,0.1777777777777777,0.2282006001368644,0.9128262300843778,0.8972740186209536,0.9163235693318256,0.90505584756796,,0.9171097267624746,0.8845795002545385,0.9391931543997564,2000,0.8921161304940698,0.9350352279984084,2000,complete_fixed_panel,8
mean,lc,90,0.1,0.1222343326628417,0.1111111111111111,0.0910836762688614,0.2851851851851852,1.0,0.1497942386831275,0.2106873995764739,0.8560474727919676,0.8432200284392579,0.8840565219302929,0.8679630795722323,,0.8850293905440962,0.829276108969711,0.9227241676388064,2000,0.8403988397121297,0.9126398448684864,2000,complete_fixed_panel,9
median,lc,90,0.8,0.1154700538379251,0.0,0.0888888888888888,0.8666666666666667,1.0,0.1333333333333333,0.3642956746255839,0.7753093746942605,0.7356659905341447,0.7590894014436703,0.7231985940246036,,0.7608241266049569,0.642308976543748,0.8480546327216206,2000,0.6646097317305117,0.8325572500541031,2000,complete_fixed_panel,9
trimmed_one_each_tail,lc,90,0.1555555555555555,0.1199959519276849,0.0824786098842324,0.0888888888888889,0.3481481481481481,1.0,0.1470899470899471,0.2093484768891062,0.8532744919818884,0.827597621828142,0.8976784146026677,0.8841075186179532,,0.8985132995814981,0.8476543156514282,0.93068124691307,2000,0.8612376429818255,0.9212851954075524,2000,complete_fixed_panel,9
no_self_mean,lc,90,0.1444444444444444,0.1256292256501244,0.125,0.0938271604938271,0.3296296296296296,1.0,0.1537037037037036,0.2193490311622165,0.8531967204071114,0.8301936725604174,0.8818666061026179,0.8604654203652227,,0.8829135337754265,0.8269700756262245,0.918341335456045,2000,0.8397185946028253,0.9092247718381908,2000,complete_fixed_panel,8
mean,tf,90,0.0888888888888888,0.1415090833603997,0.1111111111111111,0.1037037037037037,0.237037037037037,1.0,0.1769547325102881,0.2408220128818591,0.9136940819005788,0.907749494644346,0.9381102994246252,0.9349273832290552,,0.938741842091286,0.912313552656033,0.9557629884928316,2000,0.9163648768985384,0.954131789434574,2000,complete_fixed_panel,9
median,tf,90,0.7444444444444445,0.1522411769130196,0.0,0.1160493827160493,0.825925925925926,0.9962962962962963,0.1777777777777777,0.430288002905379,0.883028949407405,0.8657516944740122,0.8565128819536313,0.8502651641603768,,0.8580451703457956,0.7977338015598824,0.9032852889825456,2000,0.7980560949534818,0.903610312978774,2000,complete_fixed_panel,9
trimmed_one_each_tail,tf,90,0.1777777777777777,0.1451667380614996,0.1428571428571428,0.1068783068783069,0.3296296296296296,1.0,0.1798941798941799,0.2510499006698948,0.9162529995670198,0.91027054616274,0.9426811141374748,0.9402801898591012,,0.9433115823817292,0.918910820839053,0.9581904754939689,2000,0.9209067800419076,0.9576614839621116,2000,complete_fixed_panel,9
no_self_mean,tf,90,0.1111111111111111,0.155335501241273,0.125,0.1148148148148148,0.2629629629629629,1.0,0.1935185185185185,0.2704905133380371,0.9014734370440044,0.8933785790810881,0.9246682076286444,0.9178178833859236,,0.925373588339309,0.8911200018063272,0.947704611942826,2000,0.8977392468029843,0.9438054164634362,2000,complete_fixed_panel,8
mean,mq,90,0.0555555555555555,0.1577413561282406,0.1283000598199169,0.1160493827160493,0.2111111111111111,1.0,0.1967078189300411,0.2539235230777332,0.920107445477865,0.9128814678841508,0.9387566719941904,0.9304148517253368,,0.9393124510797272,0.9121118250391316,0.9563548925893552,2000,0.9081019598858484,0.957265782109266,2000,complete_fixed_panel,9
median,mq,90,0.6888888888888889,0.1796200837478835,0.0,0.1382716049382716,0.7925925925925926,1.0,0.2074074074074074,0.4519748487545696,0.8572994024634535,0.8169956676576919,0.8664611197625122,0.8307769447994185,,0.8669656203288492,0.8022069457727911,0.9157973334270684,2000,0.798095344879879,0.9183055521918506,2000,complete_fixed_panel,9
trimmed_one_each_tail,mq,90,0.0666666666666666,0.172322432019717,0.1649572197684644,0.1269841269841269,0.237037037037037,1.0,0.2137566137566137,0.276685365386867,0.9227043801981566,0.9114380122929846,0.9389443721316054,0.9321174049509126,,0.9394723331622004,0.9111817052428643,0.956671284936441,2000,0.9096778391923688,0.9574193772602516,2000,complete_fixed_panel,9
no_self_mean,mq,90,0.0444444444444444,0.1678196497018607,0.1443375672974064,0.1231481481481481,0.1851851851851852,1.0,0.2101851851851851,0.26681023006534,0.9136215023527936,0.8973566559917189,0.9343436845997372,0.9205046763275536,,0.9349087507505311,0.9042872472332246,0.9532096369482828,2000,0.90715031747215,0.9523880836297952,2000,complete_fixed_panel,8
mean,risk,90,0.1,0.1194346749823001,0.1111111111111111,0.0880658436213991,0.2703703703703703,1.0,0.1481481481481481,0.1982976699199159,0.9162983798147756,0.8928284561569113,0.9310854646378304,0.923611096557318,,0.9317047202597994,0.8987174704238019,0.9525220270672474,2000,0.895265069987341,0.9541929765437728,2000,complete_fixed_panel,9
median,risk,90,0.8,0.1154700538379251,0.0,0.0888888888888888,0.8666666666666667,1.0,0.1333333333333333,0.3651483716701107,0.8399108097759913,0.835259243526541,0.8546264518086609,0.8496240601503752,,0.8561034761519807,0.7802576269676554,0.914110550543396,2000,0.7652709529609651,0.9248567845780388,2000,complete_fixed_panel,9
trimmed_one_each_tail,risk,90,0.1,0.1402280809995474,0.1428571428571428,0.1029982363315696,0.2666666666666666,1.0,0.1746031746031745,0.2321678135974656,0.9059849883337914,0.8821066904545005,0.9216520619597142,0.9075502364224846,,0.9221971139563538,0.88789981557017,0.945171734275044,2000,0.8858931809122165,0.9461451963350862,2000,complete_fixed_panel,9
no_self_mean,risk,90,0.1222222222222222,0.1300479533459353,0.125,0.0962962962962963,0.2962962962962963,1.0,0.1601851851851851,0.2185537576914101,0.9056560382515136,0.8799283177136218,0.9158658564927366,0.9050466219505262,,0.9164190655499912,0.8772467217838935,0.94007603094477,2000,0.876176838182701,0.9435145630456164,2000,complete_fixed_panel,8
